,id,Time,Tweet,tags
0,2447961475,2023-02-14 16:40:12+00:00,b'.@cdcgov report: too few us children with #sicklecell anemia receive recommended screening or treatment. &lt;50% of th... https://t.co/2ayedu7r3n',anemia
1,1333374505931198466,2023-02-14 16:38:01+00:00,b'eu tava fazendo questao de anemia ai dormi e sonhei que eu tinha uma anemia que ngm descobria oq era e tinham todos... https://t.co/qsuzmfsqgi',anemia
2,204970444,2023-02-14 16:37:25+00:00,"b'la verdad es que ando tan cansada que no se si tengo anemia, depresion o simplemente soy una pajera'",anemia
3,1593276163132112897,2023-02-14 16:37:12+00:00,"b'even before my ed i have been struggling with anemia literally since childhood, does anybody know why??'",anemia
4,1230594840255225863,2023-02-14 16:36:09+00:00,"b'bueno, por culpa de estar menstruando, la anemia y que no comi en todo el dia, me dio un mareo, pote y mi familia m... https://t.co/4ftqvw8reh'",anemia
5,1230594840255225863,2023-02-14 16:35:39+00:00,"b'bueno, por culpa de estar menstruando, la anemia y que no comi en todo el dia, me dio un mareo, pote y mi familia m... https://t.co/lg75mkpo6p'",anemia
6,1196400099586215936,2023-02-14 16:34:24+00:00,b'valentine ku diisi dgn puasa dan anemia',anemia
7,384384667,2023-02-14 16:33:46+00:00,b'can you wipe out sickle cell anemia with better/consistent application of effort to the science of eradicating? https://t.co/li9uqvce9r',anemia
8,1437744311966257153,2023-02-14 16:33:23+00:00,b'mermao eu tenho anemia',anemia
9,1060492367961178112,2023-02-14 16:31:41+00:00,b'@drarabifrank what kills them is\nobstructed pregnancy\nprolonged labour\npre-eclampsia/eclampsia\nantepartum haemorrha... https://t.co/agpftynzwf',NIL
10,391344883,2023-02-14 16:30:55+00:00,"b'gran avance para el cuidado de la pachamama, yo no puedo evitar ver decenas de miles de ninos con problemas de desn... https://t.co/vu4pwgspp8'",NIL
11,1466542078377271300,2023-02-14 16:30:11+00:00,"b'@quay_dr @r_h_ebright 3/so many ppl died, i know i should be grateful, but after severe infection 2020,i now have r... https://t.co/fgftcem2zy'",NIL
12,22139525,2023-02-14 16:27:42+00:00,b'@_cropes_ @stevendjbaumann @takethatdarwin @dershasta that example is literally the only one i have have been heari... https://t.co/7wtlbp3niw',NIL
13,1372594682425905158,2023-02-14 16:26:32+00:00,"b'ultimamente me estoy mareando como 6 veces al dia, sera el comienzo de mi anemia era?'",anemia
14,516699748,2023-02-14 16:26:13+00:00,b'@pulte $kentrell555 finger crossed!  i could use the help fixing my car to get to my doctors visits for my battl... https://t.co/yxxztiqmyo',NIL
15,1511659926107697157,2023-02-14 16:25:56+00:00,b'@chrissiemayr sickle cell anemia??',anemia
