,Unnamed: 0,id,Time,Tweet
0,0,1.57853E+18,2023-02-13 17:09:44+00:00,b'runny nose tear eyes fever headache loss of appetite chills nausea\nidk how im functioning at work'
1,1,49049956,2023-02-13 15:34:08+00:00,"b'@katkinneywrites i have hot/cold sometimes. usually cold means things are turning around, like a fever breaking. so... https://t.co/h1vvxvkitf'"
2,2,92341784,2023-02-13 13:57:31+00:00,"b'cytomegalovirus colitis - complication when cd4 &lt;50 cells/microl; s/s: nausea, fever, abd pain, diarrhea, hemorrhag... https://t.co/guff67xami'"
3,3,1.17943E+18,2023-02-13 11:38:54+00:00,b'@fatalkci l know otli and matli for nausea and vomiting. \nsar-me-darad for headache.\nbukhar for fever.\ntakleef or d... https://t.co/3p0qkakgmb'
4,4,856681920,2023-02-13 01:57:45+00:00,b'went from a fever to a cough to a sore throat to a flu to perma sneezing to nosebleeds to nausea in the span of 5 days. pls send help ;-;'
5,5,17979526,2023-02-13 00:59:52+00:00,b'the initial sick day of covid was absolutely brutal and this 8-days-later fever and nausea is killing me today. what a weird fucking disease'
6,6,1170795830,2023-02-12 17:16:21+00:00,b'rt @bornmiserable: disco fever.  disco nausea.  disco stomach cramps.  you have died of disco dysentery.'
7,7,9.27944E+17,2023-02-12 16:52:01+00:00,b'fever and flu starting thursday tonight ; feeling nausea'
8,8,1.58138E+18,2023-02-12 16:06:33+00:00,b'        i may have a fever or so but between the nausea and everyone talking about babies is there any encrypted code?'
9,9,9.10216E+17,2023-02-12 15:39:09+00:00,"b'also; vomiting, nausea, diarrhoea, shaking of peripheries, dyspnea, fever etc https://t.co/g3k7l8eeba'"
10,10,1.31624E+18,2023-02-12 15:18:17+00:00,"b'well my wish came true... body aches, fever, nausea, im miserable '"
11,11,318562607,2023-02-12 14:42:22+00:00,"b'catching cold/tropical cold\n\ncause: too much exertion in outdoor activities + bad weather\n\nsymptoms: nausea, fever,... https://t.co/ogr1gcnz7q'"
12,12,2329454670,2023-02-12 03:22:14+00:00,"b'@auntmaggiep fever, nausea, vomiting, bowel issues, weak, dizzy..............'"
13,13,320558416,2023-02-11 23:48:47+00:00,"b""kid got sick and has a high fever and nausea and now i think i'm sick. neat. here's hoping this passes quickly."""
14,14,511177454,2023-02-11 20:47:40+00:00,"b'@hatch_shane @laurakronen i had it 3 wks ago. no cough or fever. just really bad headache, nausea.'"
15,15,1.25738E+18,2023-02-11 19:46:00+00:00,b'@striepenlab cryptospiridium:\nwatery diarrhea / stomach cramps or pain / dehydration / nausea / vomiting / fever /... https://t.co/ehewtfc52x'
16,16,288115413,2023-02-11 15:30:57+00:00,"b'the shakes. nausea. feverishness. lethargy. cramps. bathroom time. cant keep anything down, even an apple. wow.'"
